"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
2026-02-28,"beaumont",2,"Flu ED visits pct",2026-03-14,"quantile",0.25,1.16333833833834
2026-02-28,"beaumont",2,"Flu ED visits pct",2026-03-14,"quantile",0.5,1.85
2026-02-28,"beaumont",2,"Flu ED visits pct",2026-03-14,"quantile",0.75,2.61820820820821
2026-02-28,"beaumont",2,"Flu ED visits pct",2026-03-14,"quantile",0.9,4.02527127127127
2026-02-28,"beaumont",2,"Flu ED visits pct",2026-03-14,"quantile",0.95,4.71027777777778
2026-02-28,"beaumont",2,"Flu ED visits pct",2026-03-14,"quantile",0.975,6.2635065065065
2026-02-28,"beaumont",3,"Flu ED visits pct",2026-03-21,"quantile",0.025,0
2026-02-28,"beaumont",3,"Flu ED visits pct",2026-03-21,"quantile",0.05,0
2026-02-28,"beaumont",3,"Flu ED visits pct",2026-03-21,"quantile",0.1,0
2026-02-28,"beaumont",3,"Flu ED visits pct",2026-03-21,"quantile",0.25,0.938345845845846
2026-02-28,"beaumont",3,"Flu ED visits pct",2026-03-21,"quantile",0.5,1.85
2026-02-28,"beaumont",3,"Flu ED visits pct",2026-03-21,"quantile",0.75,2.90226976976977
2026-02-28,"beaumont",3,"Flu ED visits pct",2026-03-21,"quantile",0.9,4.42083483483483
2026-02-28,"beaumont",3,"Flu ED visits pct",2026-03-21,"quantile",0.95,5.22006306306308
2026-02-28,"beaumont",3,"Flu ED visits pct",2026-03-21,"quantile",0.975,6.54565865865866
2026-02-28,"boston",0,"Flu ED visits pct",2026-02-28,"quantile",0.025,0.1095
2026-02-28,"boston",0,"Flu ED visits pct",2026-02-28,"quantile",0.05,0.5445
2026-02-28,"boston",0,"Flu ED visits pct",2026-02-28,"quantile",0.1,1.24590990990991
2026-02-28,"boston",0,"Flu ED visits pct",2026-02-28,"quantile",0.25,1.64
2026-02-28,"boston",0,"Flu ED visits pct",2026-02-28,"quantile",0.5,1.69
2026-02-28,"boston",0,"Flu ED visits pct",2026-02-28,"quantile",0.75,1.74
2026-02-28,"boston",0,"Flu ED visits pct",2026-02-28,"quantile",0.9,2.13409009009009
2026-02-28,"boston",0,"Flu ED visits pct",2026-02-28,"quantile",0.95,2.8355
2026-02-28,"boston",0,"Flu ED visits pct",2026-02-28,"quantile",0.975,3.2705
2026-02-28,"boston",1,"Flu ED visits pct",2026-03-07,"quantile",0.025,0
2026-02-28,"boston",1,"Flu ED visits pct",2026-03-07,"quantile",0.05,0.00489739739739755
2026-02-28,"boston",1,"Flu ED visits pct",2026-03-07,"quantile",0.1,0.634245245245246
2026-02-28,"boston",1,"Flu ED visits pct",2026-03-07,"quantile",0.25,1.46765765765766
2026-02-28,"boston",1,"Flu ED visits pct",2026-03-07,"quantile",0.5,1.69
2026-02-28,"boston",1,"Flu ED visits pct",2026-03-07,"quantile",0.75,1.92
2026-02-28,"boston",1,"Flu ED visits pct",2026-03-07,"quantile",0.9,2.75588588588589
2026-02-28,"boston",1,"Flu ED visits pct",2026-03-07,"quantile",0.95,3.32931281281281
2026-02-28,"boston",1,"Flu ED visits pct",2026-03-07,"quantile",0.975,3.94442142142142
2026-02-28,"boston",2,"Flu ED visits pct",2026-03-14,"quantile",0.025,0
2026-02-28,"boston",2,"Flu ED visits pct",2026-03-14,"quantile",0.05,0
2026-02-28,"boston",2,"Flu ED visits pct",2026-03-14,"quantile",0.1,0.227477477477478
2026-02-28,"boston",2,"Flu ED visits pct",2026-03-14,"quantile",0.25,1.24856356356356
2026-02-28,"boston",2,"Flu ED visits pct",2026-03-14,"quantile",0.5,1.69
2026-02-28,"boston",2,"Flu ED visits pct",2026-03-14,"quantile",0.75,2.07242742742743
2026-02-28,"boston",2,"Flu ED visits pct",2026-03-14,"quantile",0.9,3.11345845845846
2026-02-28,"boston",2,"Flu ED visits pct",2026-03-14,"quantile",0.95,3.77441291291291
2026-02-28,"boston",2,"Flu ED visits pct",2026-03-14,"quantile",0.975,4.26621146146146
2026-02-28,"boston",3,"Flu ED visits pct",2026-03-21,"quantile",0.025,0
2026-02-28,"boston",3,"Flu ED visits pct",2026-03-21,"quantile",0.05,0
2026-02-28,"boston",3,"Flu ED visits pct",2026-03-21,"quantile",0.1,0.0395485485485475
2026-02-28,"boston",3,"Flu ED visits pct",2026-03-21,"quantile",0.25,1.04087337337337
2026-02-28,"boston",3,"Flu ED visits pct",2026-03-21,"quantile",0.5,1.69
2026-02-28,"boston",3,"Flu ED visits pct",2026-03-21,"quantile",0.75,2.38162162162162
2026-02-28,"boston",3,"Flu ED visits pct",2026-03-21,"quantile",0.9,3.29823423423423
2026-02-28,"boston",3,"Flu ED visits pct",2026-03-21,"quantile",0.95,3.96766916916917
2026-02-28,"boston",3,"Flu ED visits pct",2026-03-21,"quantile",0.975,4.55991416416416
2026-02-28,"boulder",0,"Flu ED visits pct",2026-02-28,"quantile",0.025,2.30925
2026-02-28,"boulder",0,"Flu ED visits pct",2026-02-28,"quantile",0.05,2.98
2026-02-28,"boulder",0,"Flu ED visits pct",2026-02-28,"quantile",0.1,3.44905405405405
2026-02-28,"boulder",0,"Flu ED visits pct",2026-02-28,"quantile",0.25,3.93253753753754
2026-02-28,"boulder",0,"Flu ED visits pct",2026-02-28,"quantile",0.5,4.1
2026-02-28,"boulder",0,"Flu ED visits pct",2026-02-28,"quantile",0.75,4.26746246246246
2026-02-28,"boulder",0,"Flu ED visits pct",2026-02-28,"quantile",0.9,4.75094594594595
2026-02-28,"boulder",0,"Flu ED visits pct",2026-02-28,"quantile",0.95,5.22
2026-02-28,"boulder",0,"Flu ED visits pct",2026-02-28,"quantile",0.975,5.89075
2026-02-28,"boulder",1,"Flu ED visits pct",2026-03-07,"quantile",0.025,1.63589464464464
2026-02-28,"boulder",1,"Flu ED visits pct",2026-03-07,"quantile",0.05,2.17551001001001
2026-02-28,"boulder",1,"Flu ED visits pct",2026-03-07,"quantile",0.1,2.99306006006006
2026-02-28,"boulder",1,"Flu ED visits pct",2026-03-07,"quantile",0.25,3.73001251251251
2026-02-28,"boulder",1,"Flu ED visits pct",2026-03-07,"quantile",0.5,4.1
2026-02-28,"boulder",1,"Flu ED visits pct",2026-03-07,"quantile",0.75,4.49876626626627
2026-02-28,"boulder",1,"Flu ED visits pct",2026-03-07,"quantile",0.9,5.17919319319319
2026-02-28,"boulder",1,"Flu ED visits pct",2026-03-07,"quantile",0.95,5.77355905905905
2026-02-28,"boulder",1,"Flu ED visits pct",2026-03-07,"quantile",0.975,6.54568593593593
2026-02-28,"boulder",2,"Flu ED visits pct",2026-03-14,"quantile",0.025,1.5155497997998
2026-02-28,"boulder",2,"Flu ED visits pct",2026-03-14,"quantile",0.05,1.79618068068068
2026-02-28,"boulder",2,"Flu ED visits pct",2026-03-14,"quantile",0.1,2.56916916916917
2026-02-28,"boulder",2,"Flu ED visits pct",2026-03-14,"quantile",0.25,3.52524024024024
2026-02-28,"boulder",2,"Flu ED visits pct",2026-03-14,"quantile",0.5,4.1
2026-02-28,"boulder",2,"Flu ED visits pct",2026-03-14,"quantile",0.75,4.6783008008008
2026-02-28,"boulder",2,"Flu ED visits pct",2026-03-14,"quantile",0.9,5.52806106106106
2026-02-28,"boulder",2,"Flu ED visits pct",2026-03-14,"quantile",0.95,6.34198748748749
